Alpha,T1_Re0.000_M0.00_N5.0, , Alpha,T1_Re0.001_M0.00_N5.0, , 
          -90,    -0.2037965, ,           -90,    -0.1824752, , 
          -89,    -0.2452811, ,           -89,    -0.2237566, , 
          -88,    -0.2848232, ,           -88,    -0.2627825, , 
          -87,    -0.3238935, ,           -87,    -0.3013089, , 
          -86,    -0.3627218, ,           -86,    -0.3396297, , 
          -85,    -0.4012581, ,           -85,    -0.3777017, , 
          -84,     -0.439458, ,           -84,    -0.4154733, , 
          -83,    -0.4772672, ,           -83,    -0.4528975, , 
          -82,    -0.5146539, ,           -82,     -0.489932, , 
          -81,     -0.551567, ,           -81,    -0.5265312, , 
          -80,    -0.5879775, ,           -80,    -0.5626557, , 
          -79,    -0.6238471, ,           -79,    -0.5982643, , 
          -78,    -0.6591052, ,           -78,    -0.6333151, , 
          -77,    -0.6937529, ,           -77,    -0.6677646, , 
          -76,    -0.7277077, ,           -76,    -0.7015703, , 
          -75,    -0.7609668, ,           -75,    -0.7346878, , 
          -74,    -0.7934506, ,           -74,    -0.7670735, , 
          -73,    -0.8251475, ,           -73,    -0.7986822, , 
          -72,     -0.856014, ,           -72,    -0.8294698, , 
          -71,    -0.8859506, ,           -71,    -0.8593909, , 
          -70,    -0.9149991, ,           -70,    -0.8884015, , 
          -69,    -0.9430368, ,           -69,    -0.9164562, , 
          -68,    -0.9700925, ,           -68,    -0.9435113, , 
          -67,     -0.996111, ,           -67,    -0.9695227, , 
          -66,     -1.020963, ,           -66,     -0.994448, , 
          -65,     -1.044741, ,           -65,     -1.018246, , 
          -64,     -1.067284, ,           -64,     -1.040874, , 
          -63,     -1.088672, ,           -63,     -1.062294, , 
          -62,     -1.108765, ,           -62,     -1.082468, , 
          -61,     -1.127608, ,           -61,     -1.101358, , 
          -60,      -1.14517, ,           -60,      -1.11893, , 
          -59,     -1.161285, ,           -59,     -1.135151, , 
          -58,     -1.176122, ,           -58,     -1.149989, , 
          -57,     -1.189589, ,           -57,     -1.163414, , 
          -56,     -1.201472, ,           -56,     -1.175399, , 
          -55,     -1.212062, ,           -55,     -1.185918, , 
          -54,     -1.221044, ,           -54,     -1.194952, , 
          -53,     -1.228673, ,           -53,     -1.202477, , 
          -52,     -1.234853, ,           -52,     -1.208478, , 
          -51,     -1.239306, ,           -51,     -1.212941, , 
          -50,     -1.242455, ,           -50,      -1.21585, , 
          -49,     -1.243905, ,           -49,     -1.217203, , 
          -48,     -1.243981, ,           -48,     -1.216989, , 
          -47,     -1.242613, ,           -47,       -1.2152, , 
          -46,     -1.239452, ,           -46,     -1.211846, , 
          -45,     -1.235031, ,           -45,     -1.206924, , 
          -44,     -1.229206, ,           -44,     -1.200439, , 
          -43,     -1.221497, ,           -43,     -1.192408, , 
          -42,     -1.212695, ,           -42,     -1.182828, , 
          -41,     -1.202219, ,           -41,     -1.171737, , 
          -40,     -1.190474, ,           -40,     -1.159142, , 
          -39,     -1.177509, ,           -39,     -1.145056, , 
          -38,     -1.162863, ,           -38,     -1.129532, , 
          -37,     -1.147161, ,           -37,     -1.112586, , 
          -36,     -1.130388, ,           -36,     -1.094235, , 
          -35,     -1.111993, ,           -35,     -1.074558, , 
          -34,     -1.092737, ,           -34,     -1.053573, , 
          -33,     -1.072523, ,           -33,     -1.031311, , 
          -32,     -1.050701, ,           -32,     -1.007876, , 
          -31,     -1.028168, ,           -31,    -0.9832656, , 
          -30,     -1.004834, ,           -30,    -0.9576125, , 
          -29,    -0.9799987, ,           -29,    -0.9309717, , 
          -28,    -0.9545569, ,           -28,    -0.9034283, , 
          -27,    -0.9284657, ,           -27,    -0.8750435, , 
          -26,    -0.9010386, ,           -26,     -0.846035, , 
          -25,    -0.8729894, ,           -25,    -0.8163983, , 
          -24,    -0.8444026, ,           -24,    -0.7861571, , 
          -23,    -0.8146891, ,           -23,    -0.7555406, , 
          -20,    -0.6190343, ,           -22,    -0.7246147, , 
          -19,     -0.609666, ,           -21,    -0.6934213, , 
          -18,     -0.599691, ,           -20,    -0.6621913, , 
          -13,    -0.4946353, ,           -19,    -0.6310064, , 
          -12,    -0.4524774, ,           -18,    -0.5999792, , 
          -11,     -0.413614, ,           -17,    -0.5691142, , 
          -10,    -0.3765923, ,           -16,    -0.5386373, , 
           -9,    -0.3381475, ,           -15,    -0.5085523, , 
           -8,     -0.300367, ,           -14,    -0.4787899, , 
           -7,    -0.2630874, ,           -13,    -0.4493272, , 
           -6,    -0.2256579, ,           -12,    -0.4202583, , 
           -5,    -0.1878407, ,           -11,    -0.3912965, , 
           -4,    -0.1503046, ,           -10,    -0.3621171, , 
           -3,    -0.1129667, ,            -9,    -0.3324615, , 
           -2,   -0.07515245, ,            -8,     -0.301993, , 
           -1,   -0.03747467, ,            -7,     -0.270313, , 
            0, -6.419938e-07, ,            -6,    -0.2368839, , 
            1,    0.03740596, ,            -5,    -0.2015931, , 
            2,    0.07488295, ,            -4,    -0.1644101, , 
            3,     0.1123749, ,            -3,    -0.1252316, , 
            4,     0.1492831, ,            -2,   -0.08454675, , 
            5,     0.1863228, ,            -1,   -0.04267306, , 
            6,     0.2236001, ,             0,  8.054156e-07, , 
            7,     0.2605266, ,             1,     0.0426745, , 
            8,     0.2973431, ,             2,    0.08454982, , 
            9,     0.3348482, ,             3,     0.1252404, , 
           10,     0.3732669, ,             4,      0.164427, , 
           20,     0.6279994, ,             5,     0.2016176, , 
           22,     0.6434292, ,             6,     0.2369126, , 
           23,     0.6541996, ,             7,     0.2703484, , 
           24,     0.6670773, ,             8,     0.3020358, , 
           25,     0.6790419, ,             9,     0.3325093, , 
           26,     0.6908844, ,            10,     0.3621651, , 
           27,     0.7030206, ,            11,      0.391336, , 
           28,     0.7132719, ,            12,       0.42028, , 
           29,     0.7230225, ,            13,     0.4493187, , 
           30,     0.7321808, ,            14,      0.478737, , 
           31,     0.7405685, ,            15,     0.5084344, , 
           32,     0.7475566, ,            16,     0.5384345, , 
           33,     0.7537368, ,            17,     0.5688036, , 
           34,     0.7590113, ,            18,     0.5995357, , 
           35,      0.762779, ,            19,     0.6304069, , 
           36,     0.7656129, ,            20,     0.6614083, , 
           37,     0.7674072, ,            21,     0.6924268, , 
           38,     0.7676593, ,            22,     0.7233803, , 
           39,     0.7672759, ,            23,     0.7540407, , 
           40,     0.7649299, ,            24,     0.7843623, , 
           41,     0.7614776, ,            25,     0.8142796, , 
           42,     0.7571641, ,            26,      0.843569, , 
           43,     0.7510515, ,            27,     0.8722188, , 
           44,     0.7437988, ,            28,     0.9002322, , 
           45,     0.7355116, ,            29,     0.9273837, , 
           46,      0.725606, ,            30,     0.9536081, , 
           47,     0.7148565, ,            31,     0.9788529, , 
           48,     0.7023829, ,            32,      1.002976, , 
           49,     0.6888037, ,            33,      1.025936, , 
           50,     0.6742882, ,            34,      1.047706, , 
           51,     0.6583249, ,            35,      1.068188, , 
           52,     0.6415927, ,            36,      1.087353, , 
           53,     0.6234449, ,            37,      1.105186, , 
           54,      0.604398, ,            38,      1.121614, , 
           55,     0.5845993, ,            39,       1.13662, , 
           56,     0.5637337, ,            40,      1.150196, , 
           57,     0.5423163, ,            41,      1.162291, , 
           58,     0.5199652, ,            42,      1.172895, , 
           59,     0.4972691, ,            43,      1.182007, , 
           60,     0.4737929, ,            44,      1.189592, , 
           61,       0.44998, ,            45,      1.195656, , 
           62,     0.4260008, ,            46,      1.200187, , 
           63,     0.4016955, ,            47,      1.203181, , 
           64,     0.3774712, ,            48,      1.204645, , 
           65,     0.3531456, ,            49,      1.204573, , 
           66,     0.3291471, ,            50,      1.202972, , 
           67,     0.3052896, ,            51,       1.19986, , 
           68,     0.2820018, ,            52,      1.195237, , 
           69,     0.2590978, ,            53,      1.189122, , 
           70,     0.2368877, ,            54,      1.181529, , 
           71,     0.2155009, ,            55,      1.172473, , 
           72,     0.1949042, ,            56,      1.161982, , 
           73,     0.1753321, ,            57,      1.150069, , 
           74,     0.1567135, ,            58,      1.136765, , 
           75,      0.139263, ,            59,      1.122092, , 
           76,     0.1228846, ,            60,      1.106079, , 
           77,     0.1077518, ,            61,      1.088759, , 
           78,    0.09375112, ,            62,      1.070158, , 
           79,    0.08100521, ,            63,      1.050313, , 
           80,    0.06939017, ,            64,      1.029254, , 
           81,     0.0589736, ,            65,      1.007019, , 
           82,    0.04963176, ,            66,     0.9836428, , 
           83,    0.04135593, ,            67,     0.9591619, , 
           90,   0.007026051, ,            68,     0.9336163, , 
, , ,            69,     0.9070426, , 
, , ,            70,     0.8794817, , 
, , ,            71,     0.8509732, , 
, , ,            72,     0.8215574, , 
, , ,            73,     0.7912758, , 
, , ,            74,     0.7601681, , 
, , ,            75,     0.7282764, , 
, , ,            76,     0.6956406, , 
, , ,            77,      0.662302, , 
, , ,            78,     0.6283013, , 
, , ,            79,     0.5936786, , 
, , ,            80,     0.5584743, , 
, , ,            81,     0.5227278, , 
, , ,            82,     0.4864786, , 
, , ,            83,     0.4497646, , 
, , ,            84,     0.4126239, , 
, , ,            85,     0.3750938, , 
, , ,            86,     0.3372152, , 
, , ,            87,     0.2990434, , 
, , ,            88,     0.2606556, , 
, , ,            89,     0.2217598, , 
, , ,            90,     0.1804701, , 

