alpha,CD
-47.0,0.61646
-46.0,0.60607
-45.0,0.59546
-44.0,0.5847
-43.0,0.57379
-42.0,0.56271
-41.0,0.5515
-40.0,0.54017
-39.0,0.52872
-38.0,0.51716
-37.0,0.50551
-36.0,0.49378
-35.0,0.48195
-34.0,0.47007
-33.0,0.45813
-32.0,0.44614
-31.0,0.43413
-30.0,0.4221
-29.0,0.41005
-28.0,0.39804
-27.0,0.38605
-26.0,0.37406
-25.0,0.36217
-24.0,0.35035
-23.0,0.33856
-22.0,0.32692
-21.0,0.31539
-20.0,0.30401
-19.0,0.29269
-18.0,0.28158
-17.0,0.27067
-16.0,0.25997
-15.0,0.24938
-14.0,0.23899
-13.0,0.22881
-12.0,0.21887
-11.0,0.20922
-10.0,0.19991
-9.0,0.19115
-8.0,0.18318
-7.0,0.1766
-6.0,0.17243
-5.0,0.16865
-4.0,0.16513
-3.0,0.16219
-2.0,0.16
-1.0,0.15865
0.0,0.15812
1.0,0.1583
2.0,0.1592
3.0,0.16068
4.0,0.16268
5.0,0.16523
6.0,0.16937
7.0,0.1749
8.0,0.18165
9.0,0.18971
10.0,0.19879
11.0,0.20889
12.0,0.21989
13.0,0.23154
14.0,0.24379
15.0,0.25653
16.0,0.26971
17.0,0.28306
18.0,0.29669
19.0,0.31055
20.0,0.32457
21.0,0.33876
22.0,0.35295
23.0,0.36724
24.0,0.38162
25.0,0.39614
26.0,0.41059
27.0,0.42509
28.0,0.4397
29.0,0.45424
30.0,0.4688
31.0,0.48336
32.0,0.49793
33.0,0.51241
34.0,0.52686
35.0,0.54128
36.0,0.5556
37.0,0.56987
38.0,0.58402
39.0,0.59809
40.0,0.61204
41.0,0.62587
42.0,0.63957
43.0,0.65311
44.0,0.66649
45.0,0.6797
46.0,0.69275
47.0,0.70562
48.0,0.71831
