alpha,CD
-22.0,0.2369
-21.0,0.2226
-20.0,0.20924
-19.0,0.19085
-16.0,0.09552
-15.0,0.07166
-14.0,0.05399
-13.0,0.04169
-12.0,0.03495
-11.0,0.02868
-10.0,0.02458
-9.0,0.02174
-8.0,0.01963
-7.0,0.01751
-6.0,0.01582
-5.0,0.01447
-4.0,0.01294
-3.0,0.01161
-2.0,0.01094
-1.0,0.0105
0.0,0.01029
1.0,0.0105
2.0,0.01094
3.0,0.01161
4.0,0.01294
5.0,0.01447
6.0,0.01581
7.0,0.01751
8.0,0.01962
9.0,0.02173
10.0,0.02457
11.0,0.02868
12.0,0.0349
13.0,0.04168
14.0,0.05402
15.0,0.0714
16.0,0.09512
19.0,0.1924
20.0,0.21144
21.0,0.22469
