alpha,CD
-90.0,1.08651
-89.0,1.06501
-88.0,1.04813
-87.0,1.03431
-86.0,1.02182
-85.0,1.00987
-84.0,0.99823
-83.0,0.98687
-82.0,0.97578
-81.0,0.96496
-80.0,0.95441
-79.0,0.94406
-78.0,0.93395
-77.0,0.92403
-76.0,0.91428
-75.0,0.90467
-74.0,0.89519
-73.0,0.88581
-72.0,0.87652
-71.0,0.8672
-70.0,0.85802
-69.0,0.84891
-68.0,0.83986
-67.0,0.83086
-66.0,0.82192
-65.0,0.81302
-64.0,0.80419
-63.0,0.7954
-62.0,0.78661
-61.0,0.77792
-60.0,0.76929
-59.0,0.76075
-58.0,0.75228
-57.0,0.7438
-56.0,0.73547
-55.0,0.72724
-54.0,0.71911
-53.0,0.71109
-52.0,0.70302
-51.0,0.69514
-50.0,0.68738
-49.0,0.67974
-48.0,0.67222
-47.0,0.66481
-46.0,0.65723
-45.0,0.64992
-44.0,0.64272
-43.0,0.63565
-42.0,0.62868
-41.0,0.62184
-40.0,0.61512
-39.0,0.60838
-38.0,0.6017
-37.0,0.59513
-36.0,0.58867
-35.0,0.58233
-34.0,0.57594
-33.0,0.56967
-32.0,0.56351
-31.0,0.5575
-30.0,0.55163
-29.0,0.54591
-28.0,0.54003
-27.0,0.53426
-26.0,0.5286
-25.0,0.52307
-24.0,0.51769
-23.0,0.51249
-22.0,0.50748
-21.0,0.50271
-20.0,0.49824
-19.0,0.49356
-18.0,0.48881
-17.0,0.48559
-16.0,0.47966
-15.0,0.47381
-14.0,0.46836
-13.0,0.46323
-5.0,0.44711
-4.0,0.44479
-3.0,0.44285
-2.0,0.44135
-1.0,0.44032
0.0,0.43989
1.0,0.44031
2.0,0.4413
3.0,0.44283
4.0,0.44477
5.0,0.44708
13.0,0.46376
14.0,0.46909
15.0,0.47476
16.0,0.48086
17.0,0.48713
18.0,0.49077
19.0,0.49614
21.0,0.50633
22.0,0.51158
23.0,0.51708
24.0,0.5228
25.0,0.52871
26.0,0.53478
27.0,0.541
28.0,0.54734
29.0,0.5538
30.0,0.56005
31.0,0.56641
32.0,0.57291
33.0,0.57954
34.0,0.58625
35.0,0.59302
36.0,0.59966
37.0,0.60637
38.0,0.61313
39.0,0.61995
40.0,0.62674
41.0,0.63337
42.0,0.64002
43.0,0.6467
44.0,0.65339
45.0,0.66009
46.0,0.6668
47.0,0.67372
48.0,0.68022
49.0,0.68671
50.0,0.69318
51.0,0.69965
52.0,0.70611
53.0,0.71266
54.0,0.71897
55.0,0.72525
56.0,0.73153
57.0,0.73779
58.0,0.74412
59.0,0.75028
60.0,0.75643
61.0,0.76258
62.0,0.76874
64.0,0.78109
65.0,0.78722
66.0,0.79339
67.0,0.79962
68.0,0.80591
69.0,0.81229
70.0,0.81877
71.0,0.82537
72.0,0.83221
73.0,0.83902
74.0,0.84599
75.0,0.85315
76.0,0.86053
77.0,0.86814
78.0,0.876
79.0,0.88415
80.0,0.89261
81.0,0.90132
82.0,0.91035
83.0,0.91969
84.0,0.92931
85.0,0.93914
86.0,0.94905
87.0,0.95883
88.0,0.96824
89.0,0.97739
90.0,0.98708
