alpha,CL
-23.0,-0.8568
-22.0,-0.971
-21.0,-1.0045
-20.0,-1.0755
-19.0,-1.1581
-18.0,-1.204
-17.0,-1.2559
-16.0,-1.2809
-15.0,-1.28
-14.0,-1.2554
-13.0,-1.2095
-12.0,-1.1619
-11.0,-1.1103
-10.0,-1.0485
-9.0,-0.9856
-8.0,-0.8649
-7.0,-0.7478
-6.0,-0.6235
-5.0,-0.5128
-4.0,-0.4067
-3.0,-0.3008
-2.0,-0.2011
-1.0,-0.0978
0.0,0.0
1.0,0.0978
2.0,0.2011
3.0,0.3008
4.0,0.4068
5.0,0.5129
6.0,0.6236
7.0,0.7481
8.0,0.8652
9.0,0.986
10.0,1.0486
11.0,1.1115
12.0,1.1644
13.0,1.2135
14.0,1.2611
15.0,1.288
16.0,1.2896
17.0,1.2657
18.0,1.2144
19.0,1.1687
20.0,1.0855
21.0,1.0131
22.0,0.9787
23.0,0.8617
