alpha,CL
-90.0,-0.1057
-89.0,-0.1238
-88.0,-0.1419
-87.0,-0.16
-86.0,-0.1782
-85.0,-0.1963
-84.0,-0.2142
-83.0,-0.2321
-82.0,-0.2497
-81.0,-0.2672
-80.0,-0.2845
-79.0,-0.3016
-78.0,-0.3184
-77.0,-0.3351
-76.0,-0.3514
-75.0,-0.3676
-74.0,-0.3834
-73.0,-0.3989
-72.0,-0.4141
-71.0,-0.4289
-70.0,-0.4434
-69.0,-0.4575
-68.0,-0.4713
-67.0,-0.4847
-66.0,-0.4977
-65.0,-0.5102
-64.0,-0.5224
-63.0,-0.5341
-62.0,-0.5452
-61.0,-0.556
-60.0,-0.5663
-59.0,-0.5761
-58.0,-0.5855
-57.0,-0.5942
-56.0,-0.6025
-55.0,-0.6103
-54.0,-0.6176
-53.0,-0.6243
-52.0,-0.6303
-51.0,-0.636
-50.0,-0.6411
-49.0,-0.6457
-48.0,-0.6497
-47.0,-0.6532
-46.0,-0.6555
-45.0,-0.6578
-44.0,-0.6595
-43.0,-0.6608
-42.0,-0.6615
-41.0,-0.6616
-40.0,-0.6613
-39.0,-0.66
-38.0,-0.6584
-37.0,-0.6564
-36.0,-0.6539
-35.0,-0.651
-34.0,-0.6471
-33.0,-0.6432
-32.0,-0.6389
-31.0,-0.6342
-30.0,-0.6291
-29.0,-0.6224
-28.0,-0.6163
-27.0,-0.61
-26.0,-0.6033
-25.0,-0.5964
-24.0,-0.5891
-23.0,-0.5814
-22.0,-0.5735
-21.0,-0.565
-20.0,-0.5552
-19.0,-0.5455
-18.0,-0.5351
-17.0,-0.5184
-16.0,-0.5036
-15.0,-0.4875
-14.0,-0.4703
-13.0,-0.4516
-5.0,-0.2293
-4.0,-0.1863
-3.0,-0.1412
-2.0,-0.0948
-1.0,-0.0474
0.0,-0.0
1.0,0.0474
2.0,0.0947
3.0,0.1412
4.0,0.1863
5.0,0.2292
13.0,0.4522
14.0,0.4712
15.0,0.4887
16.0,0.505
17.0,0.5202
18.0,0.5373
19.0,0.5485
21.0,0.5689
22.0,0.5776
23.0,0.586
24.0,0.5939
25.0,0.6015
26.0,0.6088
27.0,0.6157
28.0,0.6223
29.0,0.6287
30.0,0.6356
31.0,0.6408
32.0,0.6456
33.0,0.65
34.0,0.654
35.0,0.658
36.0,0.6609
37.0,0.6633
38.0,0.6652
39.0,0.6666
40.0,0.6678
41.0,0.6679
42.0,0.6674
43.0,0.6664
44.0,0.6648
45.0,0.6626
46.0,0.6599
47.0,0.6571
48.0,0.6531
49.0,0.6484
50.0,0.6432
51.0,0.6375
52.0,0.6311
53.0,0.6244
54.0,0.6169
55.0,0.6089
56.0,0.6004
57.0,0.5913
58.0,0.5819
59.0,0.5718
60.0,0.5612
61.0,0.5502
62.0,0.5388
64.0,0.5147
65.0,0.5019
66.0,0.4888
67.0,0.4753
68.0,0.4615
69.0,0.4474
70.0,0.4329
71.0,0.4182
72.0,0.4034
73.0,0.388
74.0,0.3725
75.0,0.3566
76.0,0.3406
77.0,0.3244
78.0,0.308
79.0,0.2914
80.0,0.2747
81.0,0.2578
82.0,0.2408
83.0,0.2236
84.0,0.2063
85.0,0.1889
86.0,0.1714
87.0,0.1538
88.0,0.1361
89.0,0.1182
90.0,0.1002
