alpha,LD
-36.0,-2.9364156472394067
-35.0,-2.9451714427695874
-34.0,-2.9551432087445404
-33.0,-2.964560331230284
-32.0,-2.974227064104504
-31.0,-2.9833997000568857
-30.0,-2.991477951522553
-29.0,-2.9989627688612295
-28.0,-3.0064091752403437
-27.0,-3.013690683373941
-26.0,-3.0212051228217516
-24.0,-3.0482718484270426
-23.0,-3.056114914753658
-22.0,-3.063614120936735
-21.0,-3.075657894736842
-20.0,-3.0909439754412893
-19.0,-3.111200970481197
-18.0,-3.141121615262865
-17.0,-3.185414203873784
-16.0,-3.2496838828907695
-15.0,-3.3622502628811772
-14.0,-3.4431779708836476
-13.0,-3.5846503905048888
-12.0,-3.7950664136622394
-11.0,-4.08313143549364
-10.0,-4.479704162366701
-8.0,-6.46686899342438
-7.0,-11.94048512128032
-6.0,-24.968354430379744
-5.0,-20.97266881028939
-4.0,-13.962655601659751
-3.0,-2.5592417061611377
-2.0,11.655450874831763
-1.0,28.68421052631579
1.0,66.28246753246754
2.0,75.23188405797102
3.0,80.95238095238095
4.0,83.7343927355278
5.0,83.62376237623764
6.0,80.96416382252559
7.0,75.99565532223028
8.0,70.65927295132471
9.0,64.04552509053285
10.0,55.20570948782535
11.0,48.055749128919864
12.0,39.79886685552408
13.0,28.74089490114464
14.0,18.190436933223413
15.0,11.871733966745845
16.0,8.146880022360422
17.0,4.710091743119266
18.0,4.369418245555463
19.0,4.140257537204103
20.0,4.015937124768038
