alpha,LD
-23.0,-3.562874251497006
-22.0,-5.265726681127982
-21.0,-6.237968080481897
-20.0,-8.047740197545643
-19.0,-11.092911877394634
-18.0,-14.548090865152247
-17.0,-20.09761561849896
-16.0,-27.29965899403239
-15.0,-35.49639489739323
-14.0,-42.58480325644505
-13.0,-47.84414556962025
-12.0,-52.432310469314075
-11.0,-56.33181126331812
-10.0,-58.08864265927978
-9.0,-58.912133891213394
-8.0,-54.91428571428571
-7.0,-54.18840579710145
-6.0,-50.36348949919225
-5.0,-45.8266309204647
-4.0,-39.523809523809526
-3.0,-31.30072840790843
-2.0,-22.930444697833522
-1.0,-11.811594202898553
0.0,0.0
1.0,11.811594202898553
2.0,22.930444697833522
3.0,31.30072840790843
4.0,39.533527696793
5.0,45.835567470956214
6.0,50.37156704361874
7.0,54.210144927536234
8.0,54.93333333333333
9.0,58.93604303646145
10.0,58.12638580931264
11.0,56.421319796954315
12.0,52.592592592592595
13.0,48.09750297265161
14.0,42.967632027257245
15.0,35.99776411403018
16.0,27.66788242866338
17.0,20.339064759762174
18.0,14.711084191399152
19.0,11.205177372962607
20.0,8.098328857057595
21.0,6.242144177449168
22.0,5.255047250859107
23.0,3.535034460124713
