CD,CL
0.40107,-1.1942
0.39125,-1.1723
0.38208,-1.148
0.37261,-1.1219
0.36274,-1.0942
0.3525,-1.0651
0.34227,-1.0336
0.33328,-1.0012
0.32509,-0.9693
0.31657,-0.9378
0.29712,-0.9029
0.28435,-0.8691
0.27227,-0.8344
0.2599,-0.7989
0.24825,-0.7628
0.24101,-0.7339
0.22134,-0.6953
0.20746,-0.6609
0.19406,-0.6287
0.18169,-0.6016
0.15004,-0.4203
0.13896,-0.406
0.12838,-0.4128
0.11241,-0.3953
0.09032,-0.4793
0.04139,-0.3997
0.02649,-0.3107
0.01923,-0.2124
0.01536,-0.1096
0.01266,0.0168
0.0111,0.1571
0.01116,0.2943
0.01134,0.4105
0.01177,0.5186
0.01259,0.6235
0.01385,0.7265
0.0156,0.8271
0.01791,0.9246
0.02116,1.0165
0.0263,1.0967
0.03358,1.16
0.04391,1.2007
0.05653,1.1926
0.07716,1.134
0.1148,1.0446
0.20631,0.9849
0.22516,1.0082
0.24582,1.0342
0.22554,0.749
0.23815,0.7517
0.25139,0.7626
0.26832,0.7856
0.27926,0.787
0.29236,0.7952
0.30606,0.8056
0.31981,0.8164
0.33748,0.8288
0.34956,0.8329
0.36313,0.8396
0.37714,0.8462
0.39102,0.8517
0.40834,0.8584
0.42103,0.86
0.43385,0.8616
0.44716,0.8633
0.46058,0.864
0.47363,0.8634
0.48607,0.8616
0.49801,0.8584
