alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp,airfoil,Reynolds,NCrit
-19.0,-0.7665,0.24659,0.24274,0.0686,1.0,0.0092,-1.7062,0.0,0.0,0.0,0.3293,AG25,0.2,5.0
-18.0,-0.7319,0.23375,0.2299,0.0609,1.0,0.01,-1.6491,0.0,0.0,0.0,0.3241,AG25,0.2,5.0
-17.0,-0.6976,0.22052,0.21669,0.0532,1.0,0.0113,-1.6568,0.0,0.0,0.0,0.3181,AG25,0.2,5.0
-16.0,-0.6633,0.20726,0.20342,0.0445,1.0,0.0133,-1.8204,0.0,0.0,0.0,0.3096,AG25,0.2,5.0
-15.0,-0.6372,0.19544,0.19164,0.0347,1.0,0.0138,-2.0521,0.0,0.0,0.0,0.2976,AG25,0.2,5.0
-14.0,-0.6051,0.17793,0.17416,0.0308,1.0,0.0146,-1.9391,0.0,0.0,0.0,0.2947,AG25,0.2,5.0
-13.0,-0.5773,0.16407,0.16033,0.0257,1.0,0.0158,-1.8116,0.0,0.0,0.0,0.2888,AG25,0.2,5.0
-12.0,-0.5527,0.14985,0.14614,0.0199,1.0,0.0172,-1.7612,0.0,0.0,0.0,0.2809,AG25,0.2,5.0
-11.0,-0.5311,0.13517,0.13149,0.0138,1.0,0.019,-1.7596,0.0,0.0,0.0,0.2713,AG25,0.2,5.0
-10.0,-0.5148,0.12015,0.11656,0.0042,1.0,0.0211,-2.0143,0.0,0.0,0.0,0.2538,AG25,0.2,5.0
-9.0,-0.501,0.10198,0.09845,-0.0008,1.0,0.0128,-2.373,0.0,0.0,0.0,0.2443,AG25,0.2,5.0
-8.0,-0.4893,0.08562,0.08222,-0.0093,1.0,0.0115,-2.6368,0.0,0.0,0.0,0.2274,AG25,0.2,5.0
-7.0,-0.4658,0.06291,0.05963,-0.0325,1.0,0.0107,-3.2497,0.0,0.0,0.0,0.177,AG25,0.2,5.0
-6.0,-0.3999,0.03314,0.02863,-0.0553,1.0,0.0122,-4.197,0.0,0.0,0.0,0.108,AG25,0.2,5.0
-5.0,-0.3082,0.01985,0.0133,-0.0563,1.0,0.0129,-4.1513,0.0,0.0,0.0,0.0633,AG25,0.2,5.0
-4.0,-0.1928,0.01445,0.00709,-0.058,0.9942,0.0182,-3.1975,0.0,0.0,0.0,-0.0558,AG25,0.2,5.0
-3.0,-0.0475,0.01145,0.00386,-0.0654,0.9711,0.0618,-2.2208,0.0,0.0,0.0,-1.139,AG25,0.2,5.0
-2.0,0.0852,0.00951,0.00291,-0.0706,0.9318,0.3696,-1.1705,0.0,0.0,0.0,1.0821,AG25,0.2,5.0
-1.0,0.1992,0.00843,0.00251,-0.07,0.8736,0.6438,-0.4593,0.0,0.0,0.0,0.6018,AG25,0.2,5.0
0.0,0.3019,0.0077,0.00211,-0.0656,0.7993,1.0,-0.5035,0.0,0.0,0.0,0.4665,AG25,0.2,5.0
1.0,0.4104,0.00814,0.00199,-0.0641,0.7097,1.0,-0.636,0.0,0.0,0.0,0.4046,AG25,0.2,5.0
2.0,0.5181,0.00884,0.00217,-0.0627,0.6059,1.0,-0.8038,0.0,0.0,0.0,0.3688,AG25,0.2,5.0
3.0,0.6248,0.0098,0.00268,-0.0615,0.4922,1.0,-1.0305,0.0,0.0,0.0,0.3456,AG25,0.2,5.0
4.0,0.7305,0.01103,0.00356,-0.0604,0.3783,1.0,-1.3592,0.0,0.0,0.0,0.3291,AG25,0.2,5.0
5.0,0.8345,0.01256,0.00483,-0.0594,0.2674,1.0,-2.0066,0.0,0.0,0.0,0.3167,AG25,0.2,5.0
6.0,0.9357,0.01453,0.00656,-0.0583,0.1624,1.0,-3.1665,0.0,0.0,0.0,0.3068,AG25,0.2,5.0
7.0,1.0323,0.01721,0.00906,-0.0568,0.0709,1.0,-4.4549,0.0,0.0,0.0,0.2984,AG25,0.2,5.0
8.0,1.1216,0.02092,0.01288,-0.0542,0.0215,1.0,-5.7708,0.0,0.0,0.0,0.2906,AG25,0.2,5.0
9.0,1.1956,0.02642,0.01892,-0.05,0.0107,1.0,-7.0894,0.0,0.0,0.0,0.2828,AG25,0.2,5.0
10.0,1.2548,0.03293,0.02621,-0.0444,0.0078,1.0,-8.301,0.0,0.0,0.0,0.2751,AG25,0.2,5.0
11.0,1.2674,0.04277,0.03697,-0.0361,0.0068,1.0,-9.0179,0.0,0.0,0.0,0.2669,AG25,0.2,5.0
12.0,1.2324,0.05796,0.05317,-0.0336,0.0065,1.0,-9.1149,0.0,0.0,0.0,0.2643,AG25,0.2,5.0
13.0,1.1744,0.08297,0.07905,-0.0467,0.0065,1.0,-8.7808,0.0,0.0,0.0,0.2752,AG25,0.2,5.0
15.0,0.9884,0.17889,0.17577,-0.0987,0.0082,1.0,-4.4003,0.0,0.0,0.0,0.3355,AG25,0.2,5.0
16.0,0.9924,0.20484,0.20161,-0.1112,0.0085,1.0,-3.5297,0.0,0.0,0.0,0.3471,AG25,0.2,5.0
17.0,1.0125,0.22538,0.22209,-0.122,0.0087,1.0,-3.0598,0.0,0.0,0.0,0.3545,AG25,0.2,5.0
18.0,1.0405,0.23885,0.23558,-0.1303,0.0067,1.0,-3.3507,0.0,0.0,0.0,0.3576,AG25,0.2,5.0
19.0,1.0686,0.26057,0.25722,-0.1422,0.0091,1.0,-2.4714,0.0,0.0,0.0,0.3645,AG25,0.2,5.0
