alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp,airfoil,Reynolds,NCrit
-26.0,-0.7915,0.35079,0.34464,0.0808,1.0,0.0311,-1.3203,0.0,0.0,0.0,0.3159,NACA0015,0.1,5.0
-25.0,-0.7876,0.33259,0.32636,0.0768,1.0,0.0321,-1.3483,0.0,0.0,0.0,0.3125,NACA0015,0.1,5.0
-24.0,-0.7771,0.31301,0.30673,0.0715,1.0,0.0326,-1.383,0.0,0.0,0.0,0.3085,NACA0015,0.1,5.0
-23.0,-0.7694,0.28714,0.28072,0.0638,1.0,0.0222,-1.6856,0.0,0.0,0.0,0.3001,NACA0015,0.1,5.0
-22.0,-0.7556,0.26509,0.25864,0.0583,1.0,0.0186,-1.7839,0.0,0.0,0.0,0.2955,NACA0015,0.1,5.0
-21.0,-0.7446,0.24163,0.23517,0.0508,1.0,0.0182,-1.9721,0.0,0.0,0.0,0.2876,NACA0015,0.1,5.0
-20.0,-0.7376,0.21679,0.21035,0.0406,1.0,0.0247,-2.2223,0.0,0.0,0.0,0.2751,NACA0015,0.1,5.0
-19.0,-0.7227,0.19981,0.19328,0.0333,1.0,0.0266,-2.2936,0.0,0.0,0.0,0.2677,NACA0015,0.1,5.0
-18.0,-0.6906,0.19077,0.18432,0.0284,1.0,0.0305,-2.0593,0.0,0.0,0.0,0.2648,NACA0015,0.1,5.0
-17.0,-0.6687,0.1774,0.17103,0.0217,1.0,0.0339,-2.0549,0.0,0.0,0.0,0.2577,NACA0015,0.1,5.0
-16.0,-0.6593,0.16111,0.1548,0.0134,1.0,0.037,-2.2083,0.0,0.0,0.0,0.2469,NACA0015,0.1,5.0
-15.0,-0.784,0.11113,0.10468,-0.0108,1.0,0.0375,-3.577,0.0,0.0,0.0,0.2126,NACA0015,0.1,5.0
-14.0,-0.9153,0.0725,0.06539,-0.0334,1.0,0.0422,-4.2103,0.0,0.0,0.0,0.1923,NACA0015,0.1,5.0
-13.0,-0.9621,0.05451,0.0466,-0.0387,1.0,0.0424,-4.343,0.0,0.0,0.0,0.191,NACA0015,0.1,5.0
-12.0,-0.9638,0.04404,0.03536,-0.0369,1.0,0.0434,-4.2564,0.0,0.0,0.0,0.1949,NACA0015,0.1,5.0
-11.0,-0.9391,0.03786,0.02873,-0.0324,1.0,0.0483,-3.9773,0.0,0.0,0.0,0.2004,NACA0015,0.1,5.0
-10.0,-0.9099,0.03209,0.02263,-0.0244,1.0,0.0524,-3.7561,0.0,0.0,0.0,0.2096,NACA0015,0.1,5.0
-9.0,-0.8885,0.02724,0.01776,-0.0129,1.0,0.0673,-3.5571,0.0,0.0,0.0,0.2235,NACA0015,0.1,5.0
-8.0,-0.8472,0.02375,0.01369,-0.0026,1.0,0.1049,-3.2177,0.0,0.0,0.0,0.2363,NACA0015,0.1,5.0
-7.0,-0.7888,0.02161,0.01163,0.0055,1.0,0.1502,-2.8595,0.0,0.0,0.0,0.2474,NACA0015,0.1,5.0
-6.0,-0.7297,0.01969,0.01011,0.0133,1.0,0.2159,-2.4994,0.0,0.0,0.0,0.2598,NACA0015,0.1,5.0
-5.0,-0.6561,0.01811,0.00922,0.0182,0.9968,0.3143,-2.1175,0.0,0.0,0.0,0.2705,NACA0015,0.1,5.0
-4.0,-0.5139,0.01702,0.00854,0.0105,0.9629,0.4181,-1.6258,0.0,0.0,0.0,0.2637,NACA0015,0.1,5.0
-3.0,-0.3813,0.0163,0.00814,0.0054,0.931,0.5078,-1.1879,0.0,0.0,0.0,0.258,NACA0015,0.1,5.0
-2.0,-0.2463,0.01554,0.00772,0.0014,0.8896,0.5995,-0.8535,0.0,0.0,0.0,0.2498,NACA0015,0.1,5.0
-1.0,-0.1321,0.01511,0.00771,0.0021,0.8344,0.6911,-0.6801,0.0,0.0,0.0,0.2604,NACA0015,0.1,5.0
0.0,0.0,0.015,0.00785,-0.0,0.7716,0.7716,-0.5204,0.0,0.0,0.0,0.4419,NACA0015,0.1,5.0
1.0,0.132,0.01511,0.00771,-0.0021,0.6911,0.8344,-0.6801,0.0,0.0,0.0,0.2603,NACA0015,0.1,5.0
2.0,0.2463,0.01554,0.00771,-0.0014,0.5995,0.8897,-0.8535,0.0,0.0,0.0,0.2498,NACA0015,0.1,5.0
3.0,0.3812,0.0163,0.00814,-0.0054,0.5079,0.9311,-1.1878,0.0,0.0,0.0,0.258,NACA0015,0.1,5.0
4.0,0.514,0.01701,0.00853,-0.0105,0.4181,0.9631,-1.6259,0.0,0.0,0.0,0.2637,NACA0015,0.1,5.0
5.0,0.6562,0.01811,0.00921,-0.0182,0.3142,0.9969,-2.1176,0.0,0.0,0.0,0.2705,NACA0015,0.1,5.0
6.0,0.7294,0.01968,0.0101,-0.0132,0.2161,1.0,-2.4987,0.0,0.0,0.0,0.2597,NACA0015,0.1,5.0
7.0,0.7886,0.0216,0.01162,-0.0054,0.1503,1.0,-2.859,0.0,0.0,0.0,0.2474,NACA0015,0.1,5.0
8.0,0.8472,0.02374,0.01368,0.0026,0.105,1.0,-3.2177,0.0,0.0,0.0,0.2363,NACA0015,0.1,5.0
9.0,0.889,0.02723,0.01775,0.0128,0.0672,1.0,-3.558,0.0,0.0,0.0,0.2236,NACA0015,0.1,5.0
10.0,0.9113,0.03211,0.02264,0.0242,0.0523,1.0,-3.7584,0.0,0.0,0.0,0.21,NACA0015,0.1,5.0
11.0,0.9419,0.03785,0.02871,0.032,0.0483,1.0,-3.9848,0.0,0.0,0.0,0.201,NACA0015,0.1,5.0
12.0,0.9677,0.04399,0.0353,0.0363,0.0432,1.0,-4.2681,0.0,0.0,0.0,0.1957,NACA0015,0.1,5.0
13.0,0.9664,0.05468,0.0468,0.0382,0.043,1.0,-4.3367,0.0,0.0,0.0,0.1917,NACA0015,0.1,5.0
14.0,0.9213,0.07252,0.06541,0.0326,0.0421,1.0,-4.2254,0.0,0.0,0.0,0.1935,NACA0015,0.1,5.0
15.0,0.6862,0.13764,0.13141,-0.0026,0.0424,1.0,-2.625,0.0,0.0,0.0,0.2312,NACA0015,0.1,5.0
16.0,0.6655,0.16198,0.15566,-0.0146,0.0367,1.0,-2.2233,0.0,0.0,0.0,0.2484,NACA0015,0.1,5.0
17.0,0.6748,0.1786,0.17222,-0.0229,0.0338,1.0,-2.0659,0.0,0.0,0.0,0.2592,NACA0015,0.1,5.0
18.0,0.6969,0.1921,0.18565,-0.0296,0.0303,1.0,-2.076,0.0,0.0,0.0,0.2662,NACA0015,0.1,5.0
20.0,0.7433,0.21884,0.2124,-0.042,0.0246,1.0,-2.2376,0.0,0.0,0.0,0.2765,NACA0015,0.1,5.0
21.0,0.7488,0.24456,0.23812,-0.0521,0.0181,1.0,-1.9711,0.0,0.0,0.0,0.289,NACA0015,0.1,5.0
22.0,0.7585,0.26846,0.26203,-0.0594,0.0187,1.0,-1.7789,0.0,0.0,0.0,0.2967,NACA0015,0.1,5.0
23.0,0.7703,0.29075,0.28435,-0.0645,0.0223,1.0,-1.6814,0.0,0.0,0.0,0.3009,NACA0015,0.1,5.0
24.0,0.7739,0.31664,0.31039,-0.0716,0.0327,1.0,-1.3679,0.0,0.0,0.0,0.3092,NACA0015,0.1,5.0
25.0,0.7783,0.33545,0.32926,-0.0758,0.0322,1.0,-1.3218,0.0,0.0,0.0,0.313,NACA0015,0.1,5.0
26.0,0.7653,0.34972,0.34366,-0.0771,0.0312,1.0,-1.2585,0.0,0.0,0.0,0.3156,NACA0015,0.1,5.0
27.0,0.6905,0.33894,0.33318,-0.068,0.0306,1.0,-1.0698,0.0,0.0,0.0,0.3156,NACA0015,0.1,5.0
28.0,0.6763,0.34061,0.33499,-0.0676,0.0284,1.0,-1.0609,0.0,0.0,0.0,0.3169,NACA0015,0.1,5.0
