alpha,CD
-19.0,0.24659
-18.0,0.23375
-17.0,0.22052
-16.0,0.20726
-15.0,0.19544
-14.0,0.17793
-13.0,0.16407
-12.0,0.14985
-11.0,0.13517
-10.0,0.12015
-9.0,0.10198
-8.0,0.08562
-7.0,0.06291
-6.0,0.03314
-5.0,0.01985
-4.0,0.01445
-3.0,0.01145
-2.0,0.00951
-1.0,0.00843
0.0,0.0077
1.0,0.00814
2.0,0.00884
3.0,0.0098
4.0,0.01103
5.0,0.01256
6.0,0.01453
7.0,0.01721
8.0,0.02092
9.0,0.02642
10.0,0.03293
11.0,0.04277
12.0,0.05796
13.0,0.08297
15.0,0.17889
16.0,0.20484
17.0,0.22538
18.0,0.23885
19.0,0.26057
