alpha,CD
-26.0,0.35079
-25.0,0.33259
-24.0,0.31301
-23.0,0.28714
-22.0,0.26509
-21.0,0.24163
-20.0,0.21679
-19.0,0.19981
-18.0,0.19077
-17.0,0.1774
-16.0,0.16111
-15.0,0.11113
-14.0,0.0725
-13.0,0.05451
-12.0,0.04404
-11.0,0.03786
-10.0,0.03209
-9.0,0.02724
-8.0,0.02375
-7.0,0.02161
-6.0,0.01969
-5.0,0.01811
-4.0,0.01702
-3.0,0.0163
-2.0,0.01554
-1.0,0.01511
0.0,0.015
1.0,0.01511
2.0,0.01554
3.0,0.0163
4.0,0.01701
5.0,0.01811
6.0,0.01968
7.0,0.0216
8.0,0.02374
9.0,0.02723
10.0,0.03211
11.0,0.03785
12.0,0.04399
13.0,0.05468
14.0,0.07252
15.0,0.13764
16.0,0.16198
17.0,0.1786
18.0,0.1921
20.0,0.21884
21.0,0.24456
22.0,0.26846
23.0,0.29075
24.0,0.31664
25.0,0.33545
26.0,0.34972
27.0,0.33894
28.0,0.34061
