alpha,CD
-90.0,1.01648
-89.0,0.99874
-88.0,0.98267
-87.0,0.96828
-86.0,0.95474
-85.0,0.94164
-84.0,0.92889
-83.0,0.91651
-82.0,0.90449
-81.0,0.89282
-80.0,0.88146
-79.0,0.8704
-78.0,0.85957
-77.0,0.84895
-76.0,0.8385
-75.0,0.82819
-74.0,0.818
-73.0,0.8079
-72.0,0.79787
-71.0,0.78792
-70.0,0.77802
-69.0,0.76816
-68.0,0.75834
-67.0,0.74855
-66.0,0.73881
-65.0,0.7291
-64.0,0.71943
-63.0,0.70983
-62.0,0.70028
-61.0,0.69076
-60.0,0.6813
-59.0,0.67188
-58.0,0.66252
-57.0,0.65323
-56.0,0.64399
-55.0,0.6348
-54.0,0.62567
-53.0,0.61661
-52.0,0.60762
-51.0,0.59869
-50.0,0.58982
-49.0,0.58101
-48.0,0.57227
-47.0,0.56358
-46.0,0.55498
-45.0,0.54645
-44.0,0.53798
-43.0,0.52958
-42.0,0.52125
-41.0,0.51299
-40.0,0.50482
-39.0,0.49673
-38.0,0.48873
-37.0,0.48084
-36.0,0.47303
-35.0,0.46538
-34.0,0.45787
-33.0,0.45051
-32.0,0.44331
-31.0,0.43628
-30.0,0.42941
-29.0,0.4229
-28.0,0.41678
-27.0,0.41121
-26.0,0.40662
-25.0,0.40213
-24.0,0.39273
-23.0,0.38111
-21.0,0.35423
-20.0,0.34019
-19.0,0.32624
-18.0,0.3126
-17.0,0.29935
-16.0,0.28598
-15.0,0.27372
-14.0,0.26211
-13.0,0.25116
-12.0,0.24091
-11.0,0.23138
-10.0,0.22261
-9.0,0.21464
-8.0,0.2075
-7.0,0.20123
-6.0,0.19586
-5.0,0.19145
-4.0,0.18803
-3.0,0.18548
-2.0,0.18375
-1.0,0.18278
0.0,0.18246
1.0,0.18278
2.0,0.18376
3.0,0.1855
4.0,0.18805
5.0,0.19149
6.0,0.19591
7.0,0.2013
8.0,0.2076
9.0,0.21477
10.0,0.2228
11.0,0.23163
12.0,0.24124
13.0,0.25157
14.0,0.26263
15.0,0.27435
16.0,0.28669
17.0,0.30012
18.0,0.31335
19.0,0.32686
20.0,0.34047
21.0,0.35387
23.0,0.37809
24.0,0.38763
25.0,0.39333
26.0,0.39834
27.0,0.40424
28.0,0.41069
29.0,0.41751
30.0,0.42461
31.0,0.43203
32.0,0.43951
33.0,0.44711
34.0,0.45482
35.0,0.46264
36.0,0.47053
37.0,0.47852
38.0,0.48651
39.0,0.49453
40.0,0.50256
41.0,0.51058
42.0,0.51857
43.0,0.52652
44.0,0.53444
45.0,0.54232
46.0,0.55014
47.0,0.55791
48.0,0.56566
49.0,0.5733
50.0,0.58088
51.0,0.5884
52.0,0.59586
53.0,0.60327
54.0,0.61062
55.0,0.6179
56.0,0.62514
57.0,0.63234
58.0,0.63951
59.0,0.64664
60.0,0.65375
61.0,0.66086
62.0,0.66796
63.0,0.67508
64.0,0.68218
65.0,0.68932
66.0,0.69651
67.0,0.70375
68.0,0.71106
69.0,0.71844
70.0,0.7259
71.0,0.73347
72.0,0.74113
73.0,0.74891
74.0,0.75683
75.0,0.76493
76.0,0.77321
77.0,0.78171
78.0,0.79044
79.0,0.79944
80.0,0.80868
81.0,0.81823
82.0,0.8281
83.0,0.83829
84.0,0.84877
85.0,0.85945
86.0,0.87017
87.0,0.88056
88.0,0.89004
89.0,0.89793
90.0,0.90408
