alpha,CL
-47.0,-1.3213
-46.0,-1.3204
-45.0,-1.3178
-44.0,-1.3134
-43.0,-1.3073
-42.0,-1.2994
-41.0,-1.2898
-40.0,-1.2784
-39.0,-1.2653
-38.0,-1.2505
-37.0,-1.2341
-36.0,-1.216
-35.0,-1.1963
-34.0,-1.1751
-33.0,-1.1524
-32.0,-1.1281
-31.0,-1.1025
-30.0,-1.0755
-29.0,-1.0472
-28.0,-1.0178
-27.0,-0.9873
-26.0,-0.9556
-25.0,-0.9231
-24.0,-0.8897
-23.0,-0.8556
-22.0,-0.8209
-21.0,-0.7859
-20.0,-0.7506
-19.0,-0.715
-18.0,-0.6797
-17.0,-0.6447
-16.0,-0.6103
-15.0,-0.5767
-14.0,-0.5443
-13.0,-0.5133
-12.0,-0.484
-11.0,-0.4566
-10.0,-0.4314
-9.0,-0.4085
-8.0,-0.3868
-7.0,-0.3645
-6.0,-0.3364
-5.0,-0.2943
-4.0,-0.238
-3.0,-0.1712
-2.0,-0.0981
-1.0,-0.0217
0.0,0.0551
1.0,0.1311
2.0,0.2046
3.0,0.274
4.0,0.339
5.0,0.3993
6.0,0.4564
7.0,0.5094
8.0,0.5584
9.0,0.603
10.0,0.6439
11.0,0.6817
12.0,0.7177
13.0,0.7529
14.0,0.7872
15.0,0.8214
16.0,0.8561
17.0,0.8907
18.0,0.9255
19.0,0.9605
20.0,0.9955
21.0,1.0307
22.0,1.0653
23.0,1.0995
24.0,1.1332
25.0,1.1665
26.0,1.1986
27.0,1.2298
28.0,1.2601
29.0,1.2891
30.0,1.3168
31.0,1.3432
32.0,1.3682
33.0,1.3915
34.0,1.4133
35.0,1.4335
36.0,1.452
37.0,1.4687
38.0,1.4837
39.0,1.4967
40.0,1.508
41.0,1.5173
42.0,1.5248
43.0,1.5303
44.0,1.5338
45.0,1.5355
46.0,1.5351
47.0,1.5329
48.0,1.5286
