alpha,CL
-22.0,-0.8058
-21.0,-0.7845
-20.0,-0.7595
-19.0,-0.7462
-16.0,-0.9305
-15.0,-0.9889
-14.0,-1.0305
-13.0,-1.0435
-12.0,-1.0192
-11.0,-0.9991
-10.0,-0.9724
-9.0,-0.9283
-8.0,-0.8746
-7.0,-0.8121
-6.0,-0.6934
-5.0,-0.552
-4.0,-0.4432
-3.0,-0.3292
-2.0,-0.2174
-1.0,-0.1084
0.0,-0.0
1.0,0.1084
2.0,0.2174
3.0,0.3291
4.0,0.4432
5.0,0.5521
6.0,0.6936
7.0,0.8123
8.0,0.8744
9.0,0.9285
10.0,0.9735
11.0,1.0014
12.0,1.0229
13.0,1.048
14.0,1.0357
15.0,0.9976
16.0,0.9405
19.0,0.753
20.0,0.7653
21.0,0.791
