alpha,CL
-90.0,-0.1008
-89.0,-0.1198
-88.0,-0.1387
-87.0,-0.1575
-86.0,-0.1763
-85.0,-0.195
-84.0,-0.2135
-83.0,-0.232
-82.0,-0.2502
-81.0,-0.2682
-80.0,-0.2861
-79.0,-0.3037
-78.0,-0.3211
-77.0,-0.3383
-76.0,-0.3551
-75.0,-0.3717
-74.0,-0.388
-73.0,-0.4039
-72.0,-0.4195
-71.0,-0.4347
-70.0,-0.4496
-69.0,-0.464
-68.0,-0.4781
-67.0,-0.4917
-66.0,-0.5048
-65.0,-0.5175
-64.0,-0.5297
-63.0,-0.5414
-62.0,-0.5526
-61.0,-0.5633
-60.0,-0.5734
-59.0,-0.5831
-58.0,-0.5922
-57.0,-0.6007
-56.0,-0.6087
-55.0,-0.6161
-54.0,-0.6229
-53.0,-0.6292
-52.0,-0.6349
-51.0,-0.64
-50.0,-0.6445
-49.0,-0.6484
-48.0,-0.6517
-47.0,-0.6543
-46.0,-0.6564
-45.0,-0.6579
-44.0,-0.6588
-43.0,-0.6591
-42.0,-0.6589
-41.0,-0.658
-40.0,-0.6566
-39.0,-0.6547
-38.0,-0.6523
-37.0,-0.6495
-36.0,-0.6462
-35.0,-0.6425
-34.0,-0.6384
-33.0,-0.6341
-32.0,-0.6297
-31.0,-0.6254
-30.0,-0.6214
-29.0,-0.6177
-28.0,-0.615
-27.0,-0.614
-26.0,-0.6166
-25.0,-0.6229
-24.0,-0.6214
-23.0,-0.6154
-21.0,-0.5919
-20.0,-0.5756
-19.0,-0.5569
-18.0,-0.5362
-17.0,-0.5141
-16.0,-0.4912
-15.0,-0.4671
-14.0,-0.4424
-13.0,-0.4174
-12.0,-0.3923
-11.0,-0.3667
-10.0,-0.3405
-9.0,-0.3135
-8.0,-0.2855
-7.0,-0.256
-6.0,-0.2248
-5.0,-0.1916
-4.0,-0.1564
-3.0,-0.1191
-2.0,-0.0803
-1.0,-0.0405
0.0,0.0
1.0,0.0405
2.0,0.0803
3.0,0.1192
4.0,0.1565
5.0,0.1917
6.0,0.225
7.0,0.2563
8.0,0.2858
9.0,0.3139
10.0,0.3409
11.0,0.3671
12.0,0.3926
13.0,0.4176
14.0,0.4424
15.0,0.4668
16.0,0.4904
17.0,0.5125
18.0,0.5335
19.0,0.5528
20.0,0.5697
21.0,0.5836
23.0,0.6012
24.0,0.6044
25.0,0.6012
26.0,0.5998
27.0,0.6016
28.0,0.6052
29.0,0.6097
30.0,0.6147
31.0,0.6199
32.0,0.625
33.0,0.63
34.0,0.6349
35.0,0.6393
36.0,0.6433
37.0,0.6469
38.0,0.6499
39.0,0.6524
40.0,0.6543
41.0,0.6556
42.0,0.6563
43.0,0.6563
44.0,0.6558
45.0,0.6546
46.0,0.6527
47.0,0.6502
48.0,0.6471
49.0,0.6433
50.0,0.6389
51.0,0.6339
52.0,0.6282
53.0,0.6219
54.0,0.615
55.0,0.6075
56.0,0.5994
57.0,0.5908
58.0,0.5816
59.0,0.5719
60.0,0.5617
61.0,0.5509
62.0,0.5397
63.0,0.528
64.0,0.5158
65.0,0.5032
66.0,0.4901
67.0,0.4767
68.0,0.4629
69.0,0.4486
70.0,0.4341
71.0,0.4192
72.0,0.404
73.0,0.3885
74.0,0.3727
75.0,0.3567
76.0,0.3404
77.0,0.3239
78.0,0.3072
79.0,0.2903
80.0,0.2733
81.0,0.256
82.0,0.2387
83.0,0.2211
84.0,0.2035
85.0,0.1857
86.0,0.1678
87.0,0.1498
88.0,0.1316
89.0,0.1132
90.0,0.0945
