alpha,LD
-49.0,-1.6412488310193512
-48.0,-1.6648680110101977
-47.0,-1.687196348824655
-46.0,-1.7086344334351489
-45.0,-1.7286682339925323
-44.0,-1.7476222609847085
-43.0,-1.7652750541851585
-42.0,-1.7816798284608546
-41.0,-1.796547701118948
-40.0,-1.8102613746369798
-39.0,-1.822473259113731
-38.0,-1.833324102791316
-37.0,-1.8426454461097208
-36.0,-1.8505932578494224
-35.0,-1.8568112577977658
-34.0,-1.8616754636864918
-33.0,-1.8649782706428892
-32.0,-1.8665873995823234
-31.0,-1.8669271681319874
-30.0,-1.8655162623426609
-29.0,-1.8625797227175607
-28.0,-1.8587226802774506
-27.0,-1.8524937094865939
-26.0,-1.8458951801908903
-25.0,-1.8375365655236877
-24.0,-1.8260869565217395
-23.0,-1.8147141906115618
-22.0,-1.8015009449714674
-21.0,-1.78627553693033
-20.0,-1.7653897465218218
-19.0,-1.743944367825023
-18.0,-1.71845025018294
-17.0,-1.6882855706385118
-16.0,-1.6481768496614733
-15.0,-1.6072131011780295
-13.0,-1.254319893664156
-12.0,-1.2268284462419954
-11.0,-1.189369073668855
-10.0,-1.1406633054257829
-9.0,-1.0788225904887094
-8.0,-1.0030257546518
-7.0,-0.9127396697212214
-6.0,-0.8075828918971943
-5.0,-0.6876755225290155
-4.0,-0.5544096191578206
-3.0,-0.40900887160324356
-2.0,-0.25358974358974357
1.0,0.23544054348389776
2.0,0.3990877993158495
3.0,0.5544938016528926
5.0,0.8432534614009095
7.0,1.234511464523735
8.0,1.36106307885449
9.0,1.4775903838986209
10.0,1.5832608397051418
11.0,1.6785103894935682
12.0,1.7634456101601326
13.0,1.8393821723756427
14.0,1.9066595631326586
15.0,1.966125115149485
16.0,2.016142282099729
17.0,2.0562796685171776
18.0,2.087942369011534
19.0,2.112101322349046
20.0,2.1293927308300096
21.0,2.1417276504982903
