alpha,LD
-26.0,-2.256335699421306
-25.0,-2.368080820229111
-24.0,-2.482668285358295
-23.0,-2.6795291495437765
-22.0,-2.8503527104002417
-21.0,-3.081570996978852
-20.0,-3.402370958070022
-19.0,-3.616936089284821
-18.0,-3.6200660481207736
-17.0,-3.7694475760992106
-16.0,-4.092235118862889
-15.0,-7.05480068388374
-14.0,-12.624827586206898
-13.0,-17.649972482113373
-12.0,-21.884650317892824
-11.0,-24.804543053354468
-10.0,-28.354627609847306
-9.0,-32.617474302496326
-8.0,-35.67157894736842
-7.0,-36.50161962054604
-6.0,-37.05942102590148
-5.0,-36.228602981778025
-4.0,-30.19388954171563
-3.0,-23.392638036809817
-2.0,-15.849420849420849
-1.0,-8.742554599602911
0.0,0.0
1.0,8.735936465916613
2.0,15.849420849420849
3.0,23.386503067484664
4.0,30.217519106407995
5.0,36.23412479293208
6.0,37.06300813008131
7.0,36.50925925925925
8.0,35.6866048862679
9.0,32.64781491002571
10.0,28.380566801619434
11.0,24.885072655217964
12.0,21.99818140486474
13.0,17.67373811265545
14.0,12.704081632653061
15.0,4.9854693403080494
16.0,4.108531917520681
17.0,3.7782754759238517
18.0,3.6277980218636126
20.0,3.396545421312374
21.0,3.0618253189401377
22.0,2.8253743574461745
23.0,2.649355116079106
24.0,2.444100555836281
25.0,2.3201669399314353
26.0,2.188322086240421
27.0,2.037233728683543
28.0,1.9855553272070696
