alpha,LD
-90.0,-0.09728396425251493
-89.0,-0.11624303997145566
-88.0,-0.13538396954576246
-87.0,-0.15469250031421913
-86.0,-0.1743947074827269
-85.0,-0.19438145503876736
-84.0,-0.21457980625707504
-83.0,-0.23518801868533848
-82.0,-0.2558978458259034
-81.0,-0.27690266954070636
-80.0,-0.29808991942666146
-79.0,-0.31947122004957307
-78.0,-0.3409176080089941
-77.0,-0.36265056329339956
-76.0,-0.384346152163451
-75.0,-0.4063360120264848
-74.0,-0.4282889665880986
-73.0,-0.45032230388006456
-72.0,-0.47243645324693107
-71.0,-0.49458025830258306
-70.0,-0.5167711708351787
-69.0,-0.5389263879563204
-68.0,-0.5611649560641059
-67.0,-0.5833714464530727
-66.0,-0.605533385244306
-65.0,-0.6275368379621657
-64.0,-0.6495977318792823
-63.0,-0.6714860447573548
-62.0,-0.6931007742083116
-61.0,-0.7147264500205678
-60.0,-0.7361333177345345
-59.0,-0.7572790009858691
-58.0,-0.7783006327431277
-57.0,-0.7988706641570313
-56.0,-0.8192040463921031
-55.0,-0.8392002640118805
-54.0,-0.8588393987011723
-53.0,-0.8779479390794414
-52.0,-0.8965605530425876
-51.0,-0.9149236125097103
-50.0,-0.932671884547121
-49.0,-0.9499220290110926
-48.0,-0.9664990628068192
-47.0,-0.982536363773108
-46.0,-0.9973677403648646
-45.0,-1.012124569177745
-44.0,-1.026107791884491
-43.0,-1.0395657987886415
-42.0,-1.0522046192021377
-41.0,-1.0639392769844334
-40.0,-1.0750747821563271
-39.0,-1.084848285610967
-38.0,-1.0942330064816352
-37.0,-1.1029522961369784
-36.0,-1.1108091120661832
-35.0,-1.1179228272628923
-34.0,-1.1235545369309303
-33.0,-1.1290747274738007
-32.0,-1.1337864456708844
-31.0,-1.137578475336323
-30.0,-1.1404383372913005
-29.0,-1.1401146709164514
-28.0,-1.1412328944688257
-27.0,-1.1417661812600608
-26.0,-1.141316685584563
-25.0,-1.1401915613589004
-24.0,-1.1379396936390505
-23.0,-1.1344611602177603
-22.0,-1.1300937967998739
-21.0,-1.123908416383203
-20.0,-1.1143224149004496
-19.0,-1.1052354323689115
-18.0,-1.0946993719441092
-17.0,-1.0675672892769619
-16.0,-1.0499103531668266
-15.0,-1.028893438298052
-14.0,-1.0041421129046033
-13.0,-0.9748936813246121
-5.0,-0.5128491870009617
-4.0,-0.4188493446345466
-3.0,-0.3188438523201987
-2.0,-0.21479551376458592
-1.0,-0.10764898255813954
0.0,-0.0
1.0,0.10765142740342032
2.0,0.21459324722411058
3.0,0.31885825260257883
4.0,0.4188681790588394
5.0,0.5126599266350541
13.0,0.9750733137829912
14.0,1.0044980707326951
15.0,1.0293622040609993
16.0,1.0502017219149025
17.0,1.067887422248681
18.0,1.094810196222263
19.0,1.1055347281009391
21.0,1.123575533742816
22.0,1.1290511747918213
23.0,1.1332869188520152
24.0,1.1359984697781178
25.0,1.137674717709141
26.0,1.1384120572945884
27.0,1.1380776340110905
28.0,1.136953264881061
29.0,1.1352473817262552
30.0,1.1348986697616283
31.0,1.1313359580515883
32.0,1.1268785673142376
33.0,1.1215791834903543
34.0,1.1155650319829424
35.0,1.1095747192337526
36.0,1.1021245372377682
37.0,1.0938865709055527
38.0,1.0849248935788496
39.0,1.07524800387128
40.0,1.0655136101094553
41.0,1.0545178963323176
42.0,1.0427799131277147
43.0,1.0304623473016854
44.0,1.0174627710861812
45.0,1.0038025117786968
46.0,0.9896520695860829
47.0,0.9753309980407291
48.0,0.9601305459998235
49.0,0.9442122584497094
50.0,0.9278975157967627
51.0,0.9111698706496104
52.0,0.893770092478509
53.0,0.8761541267925799
54.0,0.8580330194583918
55.0,0.839572561185798
56.0,0.8207455606742035
57.0,0.8014475663806776
58.0,0.7819975272805461
59.0,0.7621154768886282
60.0,0.741906058723213
61.0,0.7214980723333946
62.0,0.7008871660119156
64.0,0.6589509531552062
65.0,0.6375600213409212
66.0,0.6160904473209896
67.0,0.5944073434881568
68.0,0.5726445881053716
69.0,0.5507885114922011
70.0,0.5287199091319906
71.0,0.5066818517755673
72.0,0.4847334206510376
73.0,0.4624442802316989
74.0,0.4403125332450738
75.0,0.4179804254820371
76.0,0.39580258677791597
77.0,0.37367244914414727
78.0,0.3515981735159817
79.0,0.32958208448792625
80.0,0.3077491849744009
81.0,0.28602494119735494
82.0,0.2645136485966936
83.0,0.2431254009503202
84.0,0.2219926612217667
85.0,0.20114146985539963
86.0,0.18060165428586483
87.0,0.16040382549565615
88.0,0.14056432289514997
89.0,0.12093432509029149
90.0,0.1015115289540868
