CD,CL
0.83406,-1.3689
0.82469,-1.373
0.81508,-1.3752
0.80538,-1.3761
0.79541,-1.375
0.78541,-1.3726
0.77512,-1.3683
0.76484,-1.3627
0.75428,-1.3551
0.74376,-1.3464
0.73296,-1.3358
0.72224,-1.3241
0.71126,-1.3106
0.70037,-1.2961
0.6893,-1.2799
0.67826,-1.2627
0.6673,-1.2445
0.65601,-1.2245
0.64491,-1.204
0.63398,-1.1827
0.62247,-1.1594
0.61128,-1.1362
0.60011,-1.1117
0.58882,-1.0869
0.57773,-1.0616
0.56695,-1.0353
0.55579,-1.0086
0.54499,-0.9818
0.53452,-0.9548
0.5247,-0.9263
0.51481,-0.8978
0.50563,-0.8689
0.49725,-0.8395
0.49036,-0.8082
0.48301,-0.7763
0.4514,-0.5662
0.44505,-0.546
0.43872,-0.5218
0.43238,-0.4932
0.42602,-0.4596
0.41973,-0.421
0.41359,-0.3775
0.40776,-0.3293
0.40237,-0.2767
0.39754,-0.2204
0.39339,-0.1609
0.39,-0.0989
0.38566,0.0908
0.38588,0.154
0.3872,0.2147
0.39146,0.3301
0.41563,0.5131
0.42217,0.5746
0.42928,0.6343
0.43682,0.6916
0.44468,0.7464
0.45275,0.7984
0.46097,0.8479
0.46925,0.8947
0.47764,0.9391
0.48692,0.9817
0.49716,1.0223
0.50806,1.0608
0.51953,1.0973
0.53156,1.1319
0.54386,1.1648
