CD,CL
0.24048,-0.8568
0.1844,-0.971
0.16103,-1.0045
0.13364,-1.0755
0.1044,-1.1581
0.08276,-1.204
0.06249,-1.2559
0.04692,-1.2809
0.03606,-1.28
0.02948,-1.2554
0.02528,-1.2095
0.02216,-1.1619
0.01971,-1.1103
0.01805,-1.0485
0.01673,-0.9856
0.01575,-0.8649
0.0138,-0.7478
0.01238,-0.6235
0.01119,-0.5128
0.01029,-0.4067
0.00961,-0.3008
0.00877,-0.2011
0.00828,-0.0978
0.00798,0.0
0.00828,0.0978
0.00877,0.2011
0.00961,0.3008
0.01029,0.4068
0.01119,0.5129
0.01238,0.6236
0.0138,0.7481
0.01575,0.8652
0.01673,0.986
0.01804,1.0486
0.0197,1.1115
0.02214,1.1644
0.02523,1.2135
0.02935,1.2611
0.03578,1.288
0.04661,1.2896
0.06223,1.2657
0.08255,1.2144
0.1043,1.1687
0.13404,1.0855
0.1623,1.0131
0.18624,0.9787
0.24376,0.8617
