CD,CL
1.08651,-0.1057
1.06501,-0.1238
1.04813,-0.1419
1.03431,-0.16
1.02182,-0.1782
1.00987,-0.1963
0.99823,-0.2142
0.98687,-0.2321
0.97578,-0.2497
0.96496,-0.2672
0.95441,-0.2845
0.94406,-0.3016
0.93395,-0.3184
0.92403,-0.3351
0.91428,-0.3514
0.90467,-0.3676
0.89519,-0.3834
0.88581,-0.3989
0.87652,-0.4141
0.8672,-0.4289
0.85802,-0.4434
0.84891,-0.4575
0.83986,-0.4713
0.83086,-0.4847
0.82192,-0.4977
0.81302,-0.5102
0.80419,-0.5224
0.7954,-0.5341
0.78661,-0.5452
0.77792,-0.556
0.76929,-0.5663
0.76075,-0.5761
0.75228,-0.5855
0.7438,-0.5942
0.73547,-0.6025
0.72724,-0.6103
0.71911,-0.6176
0.71109,-0.6243
0.70302,-0.6303
0.69514,-0.636
0.68738,-0.6411
0.67974,-0.6457
0.67222,-0.6497
0.66481,-0.6532
0.65723,-0.6555
0.64992,-0.6578
0.64272,-0.6595
0.63565,-0.6608
0.62868,-0.6615
0.62184,-0.6616
0.61512,-0.6613
0.60838,-0.66
0.6017,-0.6584
0.59513,-0.6564
0.58867,-0.6539
0.58233,-0.651
0.57594,-0.6471
0.56967,-0.6432
0.56351,-0.6389
0.5575,-0.6342
0.55163,-0.6291
0.54591,-0.6224
0.54003,-0.6163
0.53426,-0.61
0.5286,-0.6033
0.52307,-0.5964
0.51769,-0.5891
0.51249,-0.5814
0.50748,-0.5735
0.50271,-0.565
0.49824,-0.5552
0.49356,-0.5455
0.48881,-0.5351
0.48559,-0.5184
0.47966,-0.5036
0.47381,-0.4875
0.46836,-0.4703
0.46323,-0.4516
0.44711,-0.2293
0.44479,-0.1863
0.44285,-0.1412
0.44135,-0.0948
0.44032,-0.0474
0.43989,-0.0
0.44031,0.0474
0.4413,0.0947
0.44283,0.1412
0.44477,0.1863
0.44708,0.2292
0.46376,0.4522
0.46909,0.4712
0.47476,0.4887
0.48086,0.505
0.48713,0.5202
0.49077,0.5373
0.49614,0.5485
0.50633,0.5689
0.51158,0.5776
0.51708,0.586
0.5228,0.5939
0.52871,0.6015
0.53478,0.6088
0.541,0.6157
0.54734,0.6223
0.5538,0.6287
0.56005,0.6356
0.56641,0.6408
0.57291,0.6456
0.57954,0.65
0.58625,0.654
0.59302,0.658
0.59966,0.6609
0.60637,0.6633
0.61313,0.6652
0.61995,0.6666
0.62674,0.6678
0.63337,0.6679
0.64002,0.6674
0.6467,0.6664
0.65339,0.6648
0.66009,0.6626
0.6668,0.6599
0.67372,0.6571
0.68022,0.6531
0.68671,0.6484
0.69318,0.6432
0.69965,0.6375
0.70611,0.6311
0.71266,0.6244
0.71897,0.6169
0.72525,0.6089
0.73153,0.6004
0.73779,0.5913
0.74412,0.5819
0.75028,0.5718
0.75643,0.5612
0.76258,0.5502
0.76874,0.5388
0.78109,0.5147
0.78722,0.5019
0.79339,0.4888
0.79962,0.4753
0.80591,0.4615
0.81229,0.4474
0.81877,0.4329
0.82537,0.4182
0.83221,0.4034
0.83902,0.388
0.84599,0.3725
0.85315,0.3566
0.86053,0.3406
0.86814,0.3244
0.876,0.308
0.88415,0.2914
0.89261,0.2747
0.90132,0.2578
0.91035,0.2408
0.91969,0.2236
0.92931,0.2063
0.93914,0.1889
0.94905,0.1714
0.95883,0.1538
0.96824,0.1361
0.97739,0.1182
0.98708,0.1002
