alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp,airfoil,Reynolds,NCrit
-33.0,-1.1942,0.40107,0.3963,0.2035,1.0,0.0088,-2.0472,0.0,0.0,0.0,0.3849,AG25,0.1,5.0
-32.0,-1.1723,0.39125,0.38638,0.1932,1.0,0.0092,-1.9558,0.0,0.0,0.0,0.3821,AG25,0.1,5.0
-31.0,-1.148,0.38208,0.37715,0.1826,1.0,0.0097,-1.8889,0.0,0.0,0.0,0.379,AG25,0.1,5.0
-30.0,-1.1219,0.37261,0.3676,0.1721,1.0,0.0102,-1.8246,0.0,0.0,0.0,0.3757,AG25,0.1,5.0
-29.0,-1.0942,0.36274,0.35766,0.1616,1.0,0.0109,-1.7585,0.0,0.0,0.0,0.3722,AG25,0.1,5.0
-28.0,-1.0651,0.3525,0.34736,0.1512,1.0,0.0118,-1.7357,0.0,0.0,0.0,0.3687,AG25,0.1,5.0
-27.0,-1.0336,0.34227,0.33705,0.1407,1.0,0.0131,-1.7861,0.0,0.0,0.0,0.3647,AG25,0.1,5.0
-26.0,-1.0012,0.33328,0.32803,0.1296,1.0,0.0135,-1.8668,0.0,0.0,0.0,0.3598,AG25,0.1,5.0
-25.0,-0.9693,0.32509,0.3198,0.1184,1.0,0.0137,-1.9323,0.0,0.0,0.0,0.3543,AG25,0.1,5.0
-24.0,-0.9378,0.31657,0.31126,0.1077,1.0,0.0138,-1.9712,0.0,0.0,0.0,0.3486,AG25,0.1,5.0
-23.0,-0.9029,0.29712,0.29177,0.101,1.0,0.0143,-1.8186,0.0,0.0,0.0,0.347,AG25,0.1,5.0
-22.0,-0.8691,0.28435,0.27897,0.0929,1.0,0.0153,-1.6757,0.0,0.0,0.0,0.3434,AG25,0.1,5.0
-21.0,-0.8344,0.27227,0.26687,0.0842,1.0,0.0165,-1.5775,0.0,0.0,0.0,0.3388,AG25,0.1,5.0
-20.0,-0.7989,0.2599,0.25446,0.0756,1.0,0.0182,-1.5612,0.0,0.0,0.0,0.3336,AG25,0.1,5.0
-19.0,-0.7628,0.24825,0.24281,0.0661,1.0,0.0207,-1.6504,0.0,0.0,0.0,0.3267,AG25,0.1,5.0
-18.0,-0.7339,0.24101,0.23562,0.0547,1.0,0.0214,-1.8535,0.0,0.0,0.0,0.3156,AG25,0.1,5.0
-17.0,-0.6953,0.22134,0.21598,0.0498,1.0,0.0225,-1.7726,0.0,0.0,0.0,0.3134,AG25,0.1,5.0
-16.0,-0.6609,0.20746,0.20207,0.0439,1.0,0.0248,-1.6732,0.0,0.0,0.0,0.309,AG25,0.1,5.0
