alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp,airfoil,Reynolds,NCrit
-23.0,-0.8568,0.24048,0.23744,0.0619,1.0,0.0108,-3.765,0.0,0.0,0.0,0.2847,NACA0015,0.5,5.0
-22.0,-0.971,0.1844,0.18098,0.0377,1.0,0.012,-5.4113,0.0,0.0,0.0,0.2501,NACA0015,0.5,5.0
-21.0,-1.0045,0.16103,0.15733,0.0241,1.0,0.0123,-5.761,0.0,0.0,0.0,0.2371,NACA0015,0.5,5.0
-20.0,-1.0755,0.13364,0.12949,0.0073,1.0,0.0125,-6.3433,0.0,0.0,0.0,0.2221,NACA0015,0.5,5.0
-19.0,-1.1581,0.1044,0.09975,-0.0082,1.0,0.0127,-6.8272,0.0,0.0,0.0,0.2106,NACA0015,0.5,5.0
-18.0,-1.204,0.08276,0.07769,-0.018,1.0,0.0136,-6.9508,0.0,0.0,0.0,0.2054,NACA0015,0.5,5.0
-17.0,-1.2559,0.06249,0.057,-0.0262,1.0,0.0144,-7.0327,0.0,0.0,0.0,0.2023,NACA0015,0.5,5.0
-16.0,-1.2809,0.04692,0.04109,-0.0311,1.0,0.0157,-6.9206,0.0,0.0,0.0,0.2015,NACA0015,0.5,5.0
-15.0,-1.28,0.03606,0.02996,-0.0325,1.0,0.0174,-6.6509,0.0,0.0,0.0,0.2028,NACA0015,0.5,5.0
-14.0,-1.2554,0.02948,0.02317,-0.0302,1.0,0.0193,-6.2637,0.0,0.0,0.0,0.2063,NACA0015,0.5,5.0
-13.0,-1.2095,0.02528,0.01879,-0.0262,1.0,0.0211,-5.7955,0.0,0.0,0.0,0.2106,NACA0015,0.5,5.0
-12.0,-1.1619,0.02216,0.01548,-0.0201,1.0,0.0224,-5.3323,0.0,0.0,0.0,0.2168,NACA0015,0.5,5.0
-11.0,-1.1103,0.01971,0.01271,-0.012,1.0,0.0212,-4.9419,0.0,0.0,0.0,0.2248,NACA0015,0.5,5.0
-10.0,-1.0485,0.01805,0.01097,-0.0045,1.0,0.0227,-4.4595,0.0,0.0,0.0,0.2328,NACA0015,0.5,5.0
-9.0,-0.9856,0.01673,0.00957,0.0035,0.9997,0.024,-3.9865,0.0,0.0,0.0,0.2419,NACA0015,0.5,5.0
-8.0,-0.8649,0.01575,0.00842,-0.0002,0.9886,0.0269,-3.269,0.0,0.0,0.0,0.2393,NACA0015,0.5,5.0
-7.0,-0.7478,0.0138,0.00627,-0.0026,0.9683,0.0393,-2.8493,0.0,0.0,0.0,0.237,NACA0015,0.5,5.0
-6.0,-0.6235,0.01238,0.00509,-0.0067,0.9455,0.0673,-2.3403,0.0,0.0,0.0,0.2305,NACA0015,0.5,5.0
-5.0,-0.5128,0.01119,0.00412,-0.0073,0.9111,0.1011,-1.8861,0.0,0.0,0.0,0.2277,NACA0015,0.5,5.0
-4.0,-0.4067,0.01029,0.00339,-0.0067,0.8658,0.1479,-1.4697,0.0,0.0,0.0,0.2261,NACA0015,0.5,5.0
-3.0,-0.3008,0.00961,0.00281,-0.0058,0.7951,0.2021,-1.0837,0.0,0.0,0.0,0.2236,NACA0015,0.5,5.0
-2.0,-0.2011,0.00877,0.0023,-0.0038,0.7108,0.2974,-0.8184,0.0,0.0,0.0,0.2241,NACA0015,0.5,5.0
